latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.42325,23.5425,309.27,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,288.65,0.9,N,0
9.7154,21.60671,299.87,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,288.34,0.99,N,0
9.97017,19.8547,296.41,0.44,0.38,2023-01-01,0002,N,VIIRS,n,2,286.06,0.37,N,0
8.74747,27.17911,308.43,0.39,0.44,2023-01-01,0002,N,VIIRS,n,2,287.17,0.74,N,0
9.34689,23.50406,302.71,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,290.87,1.16,N,0
9.34414,23.49986,321.37,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,291.37,1.16,N,0
10.25314,16.95204,326.88,0.42,0.45,2023-01-01,0002,N,VIIRS,n,2,288.8,2.15,N,2
10.27958,16.73111,311.88,0.44,0.46,2023-01-01,0002,N,VIIRS,n,2,289.73,1.25,N,2
10.92941,11.4733,299.36,0.5,0.66,2023-01-01,0002,N,VIIRS,n,2,287.12,0.51,N,2
9.25013,23.45181,302.79,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.41,0.57,N,0
9.24679,23.45125,307.12,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.16,0.58,N,0
9.24344,23.45072,305.45,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.72,0.58,N,0
9.23281,23.45268,307.77,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.37,0.56,N,0
8.8838,25.49431,301.38,0.47,0.39,2023-01-01,0002,N,VIIRS,n,2,289.04,0.55,N,0
8.88308,25.49854,302.13,0.47,0.39,2023-01-01,0002,N,VIIRS,n,2,289.27,0.44,N,0
8.65793,26.809,300.93,0.55,0.43,2023-01-01,0002,N,VIIRS,n,2,285.8,0.91,N,0
8.88336,25.49604,303.79,0.47,0.4,2023-01-01,0002,N,VIIRS,n,2,289.31,1.15,N,0
9.21159,23.44597,329.01,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.87,2.5,N,0
9.20767,23.44899,334.68,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,292.89,1.51,N,0
9.42991,22.04738,300.54,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,290.22,0.66,N,0
9.2071,23.45254,304.12,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.37,1.51,N,0
8.65811,26.81253,304.03,0.55,0.43,2023-01-01,0002,N,VIIRS,n,2,285.72,0.67,N,0
10.92999,11.47239,297.46,0.5,0.66,2023-01-01,0002,N,VIIRS,n,2,286.68,1.23,N,2
9.42604,22.05035,309.73,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,290.43,0.66,N,0
9.20376,23.45199,309.75,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.71,1.51,N,0
9.20041,23.45145,316.47,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.39,1.67,N,0
9.22096,23.3016,302.2,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.18,1.28,N,0
9.19542,23.43968,325.94,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.51,1.61,N,0
9.19714,23.42899,305.69,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,289.79,1.17,N,0
9.20238,23.37482,326.9,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.66,2.6,N,0
9.20181,23.37841,331.04,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,292.82,2.6,N,0
9.19207,23.43914,322.07,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.06,1.61,N,0
